Yaw;Pitch;Roll;Ang_vel_x;Ang_vel_y;Ang_vel_z;u(z);t;setpoint
179.9375;-0.6875;0.375;0.03;-0.02;-0.01;0;21.79;180
179.9375;-0.75;0.375;0.02;-0.02;-0.01;0;21.84;180
179.9375;-0.8125;0.4375;0.01;-0.03;0;0;21.89;180
179.9375;-0.875;0.5;0;-0.04;0;0;21.94;180
179.9375;-0.875;0.625;-0.01;-0.03;0;0;21.99;180
179.9375;-0.875;0.6875;-0.02;-0.03;0;0;22.05;180
179.9375;-0.875;0.8125;-0.03;-0.02;-0.01;0;22.09;180
179.9375;-0.8125;0.875;-0.03;0;-0.01;0.01;22.14;180
179.9375;-0.6875;0.875;-0.03;0.01;-0.01;0.01;22.18;180
180;-0.625;0.875;-0.03;0.02;-0.01;0.01;22.23;180
180;-0.5625;0.8125;-0.02;0.03;-0.01;0;22.28;180
180.0625;-0.5;0.75;-0.01;0.03;-0.01;0;22.32;180
180.0625;-0.4375;0.6875;0;0.03;0;0;22.37;180
180.0625;-0.4375;0.5625;0.01;0.03;-0.01;0;22.42;180
180;-0.4375;0.5;0.01;0.02;-0.01;0;22.47;180
180;-0.4375;0.4375;0.02;0.01;-0.01;0;22.52;180
180.0625;-0.5;0.375;0.03;0;-0.01;0;22.57;180
180.0625;-0.5625;0.375;0.03;-0.01;-0.01;0;22.62;180
180.0625;-0.625;0.375;0.03;-0.02;-0.01;0;22.67;180
180.0625;-0.75;0.375;0.02;-0.03;0;0;22.71;180
180.0625;-0.8125;0.5;0.01;-0.03;0;0;22.76;180
180.0625;-0.875;0.5625;0;-0.04;0;0;22.81;180
180.0625;-0.875;0.625;-0.01;-0.03;0;0;22.86;180
180.0625;-0.875;0.75;-0.02;-0.03;0;0;22.91;180
180.0625;-0.8125;0.8125;-0.02;-0.01;-0.01;0;22.95;180
180.0625;-0.8125;0.875;-0.03;0;0;0;23;180
180.0625;-0.75;0.875;-0.03;0;0;0;23.05;180
180.0625;-0.625;0.875;-0.02;0.02;0;0;23.1;180
180.0625;-0.5625;0.875;-0.02;0.03;0;0;23.14;180
180.0625;-0.5;0.8125;-0.01;0.04;-0.01;0;23.2;180
180.0625;-0.5;0.6875;-0.01;0.04;-0.01;0;23.24;180
180.0625;-0.5;0.625;0;0.04;-0.01;0;23.28;180
180.0625;-0.5;0.5;0.01;0.02;0;0;23.33;180
180.0625;-0.5;0.4375;0.02;0.01;-0.01;0;23.38;180
180.0625;-0.5625;0.375;0.02;0;0;0;23.43;180
180.0625;-0.625;0.375;0.03;-0.01;-0.01;0;23.47;180
180.0625;-0.6875;0.375;0.02;-0.02;-0.01;0;23.52;180
180.0625;-0.75;0.4375;0.02;-0.03;0;0;23.57;180
180.0625;-0.8125;0.5;0.01;-0.04;0.01;0;23.62;180
180.0625;-0.8125;0.5625;0;-0.04;0.01;0;23.67;180
180.0625;-0.8125;0.6875;-0.01;-0.04;0;0;23.72;180
180.0625;-0.8125;0.8125;-0.01;-0.02;0;0;23.77;180
180.0625;-0.8125;0.875;-0.02;-0.01;-0.01;0;23.82;180
180.0625;-0.8125;0.9375;-0.02;0;0;0;23.87;180
180.0625;-0.75;0.9375;-0.02;0.01;0;0;23.92;180
180.0625;-0.6875;0.9375;-0.02;0.03;0;0;23.98;180
180.0625;-0.625;0.875;-0.02;0.04;0;0;24.02;180
180.0625;-0.5625;0.75;-0.01;0.04;0;0;24.07;180
180.0625;-0.5;0.6875;0;0.04;-0.01;0.01;24.12;180
180.0625;-0.5;0.5625;0.01;0.03;-0.01;0;24.16;180
180.0625;-0.5;0.4375;0.01;0.02;-0.01;0;24.21;180
180.0625;-0.5;0.375;0.02;0.01;0;0;24.26;180
180.0625;-0.5625;0.3125;0.02;0;0;0;24.31;180
180.0625;-0.625;0.3125;0.02;-0.02;0;0;24.36;180
180.0625;-0.625;0.375;0.02;-0.03;0;0;24.4;180
180.0625;-0.6875;0.4375;0.02;-0.04;-0.01;0;24.45;180
180.0625;-0.75;0.5;0.01;-0.04;0;0;24.5;180
180.0625;-0.8125;0.625;0;-0.04;0;0;24.55;180
180.0625;-0.8125;0.75;-0.01;-0.04;0;0;24.6;180
180.0625;-0.8125;0.875;-0.01;-0.03;0.01;0;24.65;180
180.0625;-0.8125;0.9375;-0.02;-0.01;0;0;24.7;180
180.0625;-0.75;1;-0.02;0;0;0;24.74;180
180.0625;-0.6875;1;-0.02;0.02;0;0;24.79;180
180.0625;-0.625;1;-0.02;0.03;0;0;24.84;180
180.0625;-0.5625;0.9375;-0.02;0.04;-0.01;0;24.88;180
180.0625;-0.5625;0.8125;-0.01;0.04;0;0;24.93;180
180.0625;-0.5;0.6875;0;0.04;0;0;24.98;180
180.0625;-0.5;0.5625;0;0.03;0;0;25.03;180
180.0625;-0.5;0.5;0.01;0.02;0;0;25.08;180
180.0625;-0.5;0.4375;0.01;0.01;0;0;25.13;180
180.0625;-0.5625;0.375;0.02;-0.01;0;0;25.18;180
180.0625;-0.625;0.375;0.02;-0.02;0;0;25.23;180
180.0625;-0.6875;0.4375;0.02;-0.03;0;0;25.28;180
180.0625;-0.6875;0.5;0.01;-0.04;0;0;25.32;180
180.0625;-0.75;0.625;0.01;-0.05;0;0;25.37;180
180.0625;-0.75;0.75;0;-0.04;0;0;25.42;180
180.0625;-0.75;0.8125;0;-0.03;-0.01;0;25.47;180
180.0625;-0.75;0.9375;-0.01;-0.03;-0.01;0;25.52;180
180.0625;-0.75;1;-0.01;-0.01;0;0;25.57;180
180.0625;-0.75;1.0625;-0.02;0.01;0;0;25.62;180
180.0625;-0.6875;1.0625;-0.02;0.02;0;0;25.67;180
180.0625;-0.625;1;-0.02;0.03;0;0;25.72;180
180.0625;-0.5625;0.9375;-0.01;0.04;0;0;25.76;180
180.0625;-0.5625;0.875;-0.01;0.05;0;0;25.81;180
180.0625;-0.5625;0.75;0;0.04;0;0;25.87;180
180.0625;-0.5625;0.625;0;0.03;-0.01;0;25.91;180
180.0625;-0.5625;0.5;0.01;0.02;0;0;25.96;180
180.0625;-0.5625;0.4375;0.01;0.01;0;0;26.01;180
180.0625;-0.5625;0.375;0.01;-0.01;0;0;26.06;180
180.0625;-0.625;0.375;0.01;-0.03;0.01;0;26.11;180
180.0625;-0.6875;0.4375;0.01;-0.04;0;0;26.16;180
180.0625;-0.6875;0.5625;0.01;-0.05;0;0;26.21;180
180.0625;-0.6875;0.625;0;-0.05;0;0;26.25;180
180.0625;-0.6875;0.75;0;-0.04;0;0;26.3;180
180.0625;-0.6875;0.9375;0;-0.03;0;0;26.35;180
180.0625;-0.6875;1;-0.01;-0.03;0;0;26.4;180
180.0625;-0.6875;1.0625;-0.01;-0.01;0;0;26.44;180
180.0625;-0.6875;1.125;-0.01;0.01;0;0;26.49;180
180.0625;-0.625;1.125;-0.01;0.03;-0.01;0;26.54;180
180.0625;-0.625;1.0625;-0.01;0.04;0;0;26.58;180
180.0625;-0.5625;1;-0.01;0.04;-0.01;0;26.63;180
180.0625;-0.5625;0.875;0;0.04;0;0;26.68;180
180.0625;-0.5625;0.75;0;0.05;0;0;26.73;180
180.0625;-0.5625;0.625;0;0.03;0;0;26.78;180
180.0625;-0.5625;0.5;0.01;0.02;-0.01;0;26.83;180
180.0625;-0.5625;0.4375;0.01;0;-0.01;0;26.87;180
180.0625;-0.5625;0.4375;0.01;-0.01;0;0;26.92;180
180.0625;-0.5625;0.4375;0.01;-0.03;0;0;26.97;180
180.0625;-0.5625;0.5;0.01;-0.04;0;0;27.02;180
180.0625;-0.5625;0.5625;0;-0.05;0;0;27.07;180
180.0625;-0.5625;0.6875;0;-0.05;0;0;27.12;180
180.0625;-0.5625;0.8125;0;-0.05;0;0;27.17;180
