__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
1720619266.220038,-0.014180800,-0.004363323,0.019634955,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.399908677,2.238042166,0.161499023,-0.017517090,0.022644043,161.451227750,0.986450195,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.265357,-0.017453292,-0.006544985,0.011999139,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.393467729,2.204396398,0.161132813,-0.017517090,0.022338867,161.492959823,0.986511230,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.314233,-0.015271631,-0.009817477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.386252971,2.163343240,0.160949707,-0.017517090,0.021972656,161.513809426,0.986572266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.366273,-0.014180800,-0.010908308,0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.365728944,2.124144170,0.160949707,-0.017395020,0.021606445,161.512612088,0.986572266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.413364,-0.007635816,-0.007635816,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.369268690,2.102301838,0.160949707,-0.017456055,0.021423340,161.512225914,0.986572266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.462470,-0.004363323,-0.003272492,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.369268690,2.102301838,0.160949707,-0.017456055,0.021423340,161.512225914,0.986572266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.510274,0.002181662,0.002181662,0.020725785,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.368958422,2.102792126,0.160766602,-0.017456055,0.021423340,161.532947525,0.986572266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.557872,0.008726646,0.010908308,0.021816615,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.361005679,2.104845543,0.160339355,-0.017395020,0.021423340,161.583433400,0.986694336,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.606409,0.009817477,0.014180800,0.015271631,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.381832169,2.109611555,0.159851074,-0.017578125,0.021484375,161.640287031,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.656425,0.014180800,0.016362462,0.009817477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.413366474,2.133621577,0.159545898,-0.017822266,0.021728516,161.675909183,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.706367,0.011999139,0.020725785,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.461445525,2.168406943,0.159545898,-0.018188477,0.022094727,161.677552467,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.755663,0.011999139,0.020725785,0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.517534683,2.208991920,0.159545898,-0.018615723,0.022521973,161.679506571,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.804137,0.011999139,0.017453292,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.564498613,2.236871625,0.159545898,-0.018981934,0.022827148,161.681036728,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.851412,0.006544985,0.010908308,0.018544123,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.599681191,2.238940513,0.159301758,-0.019287109,0.022888184,161.709401630,0.986755371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.899561,0.003272492,0.006544985,0.022907447,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.606743088,2.245884061,0.158874512,-0.019348145,0.022949219,161.759168995,0.986816406,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.948455,-0.003272492,-0.002181662,0.017453292,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.605504254,2.247094645,0.158386230,-0.019348145,0.022949219,161.816662138,0.986938477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619266.998203,-0.008726646,-0.005454154,0.004363323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.604774064,2.247878195,0.158081055,-0.019348145,0.022949219,161.852317660,0.986999512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.048553,-0.011999139,-0.011999139,0.003272492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.595671383,2.235156967,0.158081055,-0.019287109,0.022827148,161.851850668,0.986999512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.099229,-0.014180800,-0.014180800,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.554554367,2.199195246,0.158081055,-0.018981934,0.022460938,161.850246040,0.986999512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.149852,-0.016362462,-0.011999139,-0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.519239410,2.155223021,0.158081055,-0.018737793,0.022033691,161.848600662,0.986999512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.200819,-0.011999139,-0.011999139,0.006544985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.485022361,2.118162552,0.158081055,-0.018493652,0.021667480,161.847152634,0.986999512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.248271,-0.011999139,-0.006544985,0.006544985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.465442059,2.085877857,0.158020020,-0.018371582,0.021362305,161.854110714,0.987060547,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.297451,-0.005454154,-0.005454154,0.013089970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.429412458,2.085137775,0.157775879,-0.018066406,0.021301270,161.881074811,0.987060547,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.342349,-0.002181662,0.003272492,0.005454154,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.409424891,2.095574028,0.157653809,-0.017883301,0.021362305,161.895852778,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.390365,0.003272492,0.009817477,0.005454154,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.388710998,2.098868864,0.157653809,-0.017700195,0.021362305,161.895542484,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.437275,0.006544985,0.011999139,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.403617570,2.103582991,0.157653809,-0.017822266,0.021423340,161.895914593,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.484356,0.009817477,0.021816615,0.005454154,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.426525776,2.114109769,0.157653809,-0.018005371,0.021545410,161.896558376,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.533219,0.011999139,0.021816615,0.008726646,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.452619062,2.145537709,0.157592773,-0.018188477,0.021850586,161.904622231,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1720619267.582423,0.008726646,0.018544123,0.006544985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.493613042,2.181686844,0.157531738,-0.018493652,0.022216797,161.913086592,0.987121582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
