Yaw;Pitch;Roll;Ang_vel_x;Ang_vel_y;Ang_vel_z;u(z);t;setpoint;pwm
169.5625;-0.25;-1.375;-0.02;0.02;0.16;-0.00023;34.24;169.2;88.33
169.5625;-0.25;-1.375;-0.02;0.02;0.15;-0.00025;34.25;167.88;88.29
168.25;-0.125;-1.5;-0.02;0.02;0.16;-0.00028;34.28;167.86;87.45
167.875;-0.0625;-1.5625;-0.02;0.01;0.16;-0.0003;34.33;167.55;86.32
167.4375;-0.0625;-1.625;-0.01;0.01;0.15;-0.00028;34.38;167.16;85.21
167;0;-1.625;0;0;0.14;-0.00026;34.44;166.76;84.09
166.625;0;-1.625;0.01;-0.01;0.14;-0.00028;34.59;166.34;80.81
166.625;0;-1.625;0.02;-0.01;0.13;-0.00033;34.59;166.34;80.78
165.5;-0.0625;-1.625;0.02;-0.01;0.13;-0.0003;34.62;165.21;80.15
165.1875;-0.125;-1.5625;0.02;-0.02;0.14;-0.00036;34.66;165.03;78.85
164.875;-0.1875;-1.5625;0.02;-0.01;0.14;-0.00037;34.71;164.71;77.5
164.5;-0.25;-1.5;0.02;-0.01;0.13;-0.00034;34.76;164.4;76.01
164.125;-0.3125;-1.5;0.01;0;0.1;-0.00027;34.94;164.04;72.39
163.5625;-0.375;-1.4375;0;0.01;0.1;-0.00034;34.94;164.04;72.35
163.25;-0.375;-1.4375;-0.01;0.01;0.11;-0.00035;34.95;163.02;71.88
163;-0.375;-1.5;-0.01;0.02;0.1;-0.00035;35.01;162.92;70.45
162.6875;-0.375;-1.5;-0.02;0.02;0.1;-0.00035;35.05;162.65;69.22
162.4375;-0.3125;-1.5625;-0.02;0.02;0.09;-0.00034;35.1;162.42;67.96
162.125;-0.3125;-1.625;-0.02;0.02;0.09;-0.00034;35.28;162.19;63.13
162.125;-0.3125;-1.625;-0.01;0.01;0.08;-0.0004;35.28;162.19;63.07
161.5;-0.1875;-1.8125;-0.01;0;0.07;-0.00035;35.29;161.4;62.73
161.25;-0.1875;-1.8125;0;0;0.07;-0.00038;35.34;161.35;61.3
161.0625;-0.1875;-1.8125;0;-0.01;0.07;-0.0004;35.39;161.18;59.83
160.875;-0.1875;-1.8125;0.01;-0.02;0.07;-0.00039;35.44;161.02;58.33
160.625;-0.1875;-1.8125;0.02;-0.02;0.05;-0.00034;35.62;160.86;53.36
160.375;-0.25;-1.6875;0.01;-0.02;0.05;-0.00042;35.63;160.86;53.31
160.25;-0.3125;-1.625;0.01;-0.01;0.05;-0.00041;35.64;160.38;52.94
160.0625;-0.375;-1.625;0.01;-0.01;0.05;-0.00042;35.69;160.36;51.34
159.9375;-0.4375;-1.5625;0.01;0;0.04;-0.00041;35.73;160.27;49.8
159.875;-0.4375;-1.5625;0;0.01;0.03;-0.00038;35.78;160.19;48.42
159.75;-0.4375;-1.5625;-0.01;0.02;0.02;-0.00034;35.97;160.13;43.34
159.75;-0.4375;-1.5625;-0.01;0.02;0.01;-0.00042;35.97;160.13;43.3
159.625;-0.375;-1.6875;-0.02;0.02;0.01;-0.00042;35.97;160;43.12
159.5625;-0.375;-1.75;-0.02;0.02;0.01;-0.00042;36.02;160;41.59
159.5625;-0.3125;-1.8125;-0.02;0.02;0;-0.00039;36.08;160;39.92
159.5;-0.3125;-1.875;-0.01;0.01;-0.01;-0.00038;36.12;160.02;38.74
159.5;-0.25;-1.9375;-0.01;0;-0.02;-0.00033;36.16;160.04;37.53
159.5625;-0.1875;-1.9375;0;-0.01;-0.03;-0.00028;36.31;160.07;34.21
159.5625;-0.1875;-1.9375;0;-0.02;-0.03;-0.00034;36.31;160.07;34.18
159.8125;-0.1875;-1.875;0.01;-0.02;-0.03;-0.00036;36.36;160.27;32.82
159.875;-0.1875;-1.875;0.01;-0.02;-0.04;-0.00035;36.41;160.35;31.38
159.9375;-0.1875;-1.8125;0.01;-0.02;-0.05;-0.00031;36.46;160.46;30.26
160.0625;-0.25;-1.75;0.02;-0.02;-0.06;-0.00028;36.51;160.57;29.15
160.25;-0.3125;-1.6875;0.01;-0.01;-0.07;-0.00024;36.66;160.71;26.44
160.25;-0.3125;-1.6875;0;0;-0.07;-0.00028;36.66;160.71;26.41
160.8125;-0.3125;-1.625;0;0.01;-0.07;-0.0003;36.7;161.17;25.38
160.9375;-0.3125;-1.5625;-0.01;0.02;-0.07;-0.00031;36.75;161.33;24.17
161.125;-0.3125;-1.5625;-0.01;0.02;-0.08;-0.0003;36.8;161.52;23.1
161.375;-0.3125;-1.625;-0.02;0.03;-0.08;-0.00029;36.85;161.71;21.95
161.5625;-0.25;-1.6875;-0.02;0.02;-0.1;-0.00021;37.01;161.93;19.26
161.5625;-0.25;-1.6875;-0.01;0.02;-0.11;-0.00023;37.02;162.75;19.24
162.3125;-0.125;-1.75;-0.01;0;-0.11;-0.00024;37.03;162.76;18.87
162.625;-0.0625;-1.75;-0.01;0;-0.1;-0.00025;37.08;162.86;17.89
162.875;-0.0625;-1.75;0;-0.01;-0.11;-0.00023;37.13;163.14;17.1
163.1875;-0.0625;-1.6875;0;-0.02;-0.11;-0.00024;37.18;163.39;16.19
163.5;-0.0625;-1.6875;0.01;-0.02;-0.13;-0.00015;37.38;163.67;13.85
164.4375;0;-1.4375;0.01;-0.02;-0.13;-0.00018;37.38;163.67;13.82
164.75;-0.0625;-1.375;0.01;-0.02;-0.12;-0.00025;37.42;165;13.11
165.0625;-0.0625;-1.3125;0.01;-0.01;-0.12;-0.00028;37.46;165.25;12.12
165.4375;-0.0625;-1.25;0.01;0;-0.13;-0.00024;37.51;165.58;11.22
165.75;-0.0625;-1.25;0;0.01;-0.13;-0.00025;37.56;165.93;10.29
166.125;-0.0625;-1.25;0;0.02;-0.13;-0.00026;37.7;166.29;7.32
166.4375;-0.0625;-1.25;-0.01;0.02;-0.12;-0.0003;37.7;166.29;7.26
166.75;-0.0625;-1.3125;-0.01;0.03;-0.13;-0.00024;37.7;166.29;7.22
167.125;-0.0625;-1.375;-0.01;0.02;-0.13;-0.00026;37.75;167.45;6.3
167.5;0;-1.4375;-0.01;0.02;-0.13;-0.0003;37.8;167.82;5.17
167.8125;0;-1.5;-0.01;0.01;-0.13;-0.00032;37.85;168.22;3.9
168.125;0;-1.5625;-0.01;0.01;-0.13;-0.0003;37.9;168.65;2.73
168.5;0.0625;-1.5625;-0.01;-0.01;-0.13;-0.00032;37.95;169.08;1.47
168.8125;0.0625;-1.5625;-0.01;-0.01;-0.13;-0.00031;38;169.52;0.23
169.1875;0.0625;-1.5625;0;-0.02;-0.13;-0.00034;38.05;169.98;-1.12
169.5625;0.125;-1.5;0;-0.03;-0.13;-0.00034;38.1;170.44;-2.42
169.9375;0.125;-1.4375;0;-0.03;-0.13;-0.00037;38.15;170.89;-3.89
170.25;0.125;-1.3125;0;-0.03;-0.13;-0.00037;38.2;171.37;-5.44
170.625;0.125;-1.25;0.01;-0.02;-0.13;-0.00035;38.24;171.88;-6.65
171;0.125;-1.1875;0.01;-0.01;-0.13;-0.00037;38.29;172.3;-8.02
171.3125;0.125;-1.125;0.01;0;-0.13;-0.00039;38.34;172.75;-9.47
171.625;0.125;-1.125;0.01;0.01;-0.13;-0.00036;38.39;173.22;-10.8
171.9375;0.125;-1.125;0;0.02;-0.13;-0.00038;38.43;173.68;-12.16
172.3125;0.1875;-1.1875;0;0.03;-0.14;-0.00035;38.48;174.14;-13.45
172.625;0.1875;-1.25;0;0.03;-0.15;-0.00026;38.53;174.61;-14.53
173.0625;0.1875;-1.3125;-0.01;0.03;-0.23;0.0001;38.57;175.15;-14.22
173.5625;0.1875;-1.375;-0.01;0.03;-0.28;0.00038;38.62;175.56;-12.73
174.3125;0.1875;-1.5;-0.01;0.02;-0.31;0.00056;38.67;176.07;-10.6
175;0.25;-1.5625;-0.01;0.01;-0.31;0.00055;38.72;176.57;-8.47
175.8125;0.3125;-1.5625;-0.01;0;-0.29;0.0005;38.77;177.09;-6.55
176.6875;0.375;-1.5625;-0.01;-0.02;-0.28;0.00043;38.82;177.6;-4.89
177.4375;0.4375;-1.5625;-0.01;-0.03;-0.26;0.00034;38.87;178.11;-3.62
178.1875;0.4375;-1.5;0;-0.04;-0.27;0.00041;38.91;178.61;-2.09
178.9375;0.5;-1.375;0;-0.04;-0.28;0.00049;38.96;179.1;-0.25
179.5;0.5;-1.25;0;-0.05;-0.29;0.00054;39.01;179.6;1.82
180.3125;0.5;-1.125;0.01;-0.04;-0.28;0.00053;39.06;180.11;3.86
181.125;0.5;-1;0.01;-0.03;-0.27;0.00049;39.11;180.63;5.7
181.875;0.5;-0.9375;0.01;-0.01;-0.27;0.00049;39.15;181.12;7.53
182.625;0.5;-0.875;0.01;0;-0.27;0.0005;39.2;181.62;9.39
183.3125;0.4375;-0.8125;0.01;0.01;-0.26;0.00049;39.26;182.12;11.46
183.9375;0.4375;-0.8125;0.01;0.03;-0.27;0.00056;39.3;182.68;13.36
184.625;0.4375;-0.875;0;0.03;-0.28;0.00066;39.35;183.13;16.14
185.4375;0.5;-0.9375;-0.01;0.04;-0.29;0.00069;39.39;183.68;18.24
186.0625;0.5;-1.0625;-0.01;0.04;-0.27;0.00062;39.44;184.09;20.48
186.8125;0.5;-1.125;-0.02;0.04;-0.23;0.00046;39.49;184.56;22.16
187.5;0.5625;-1.25;-0.02;0.03;-0.17;0.00015;39.53;185.03;22.72
187.9375;0.625;-1.3125;-0.02;0.01;-0.12;-0.00009;39.58;185.5;22.4
188.375;0.6875;-1.375;-0.02;0;-0.09;-0.00024;39.63;185.97;21.51
188.625;0.75;-1.375;-0.02;-0.02;-0.09;-0.00021;39.68;186.45;20.66
188.875;0.8125;-1.3125;-0.01;-0.03;-0.11;-0.00011;39.73;186.94;20.23
189.0625;0.875;-1.25;0;-0.03;-0.13;0;39.78;187.42;20.24
189.4375;0.875;-1.1875;0;-0.04;-0.15;0.00011;39.83;187.9;20.67
189.8125;0.875;-1.0625;0.01;-0.04;-0.14;0.0001;39.88;188.38;21.05
190.1875;0.875;-0.9375;0.02;-0.03;-0.11;-0.00003;39.93;188.85;20.94
190.5625;0.875;-0.8125;0.02;-0.02;-0.11;-0.00006;39.98;189.32;20.7
190.875;0.8125;-0.75;0.02;-0.02;-0.12;0;40.03;189.78;20.72
191.1875;0.75;-0.6875;0.02;0;-0.13;0.00007;40.07;190.25;20.99
191.5;0.6875;-0.6875;0.01;0.02;-0.14;0.00017;40.12;190.67;21.65
191.875;0.6875;-0.6875;0.01;0.03;-0.13;0.00014;40.17;191.1;22.19
192.25;0.6875;-0.75;0;0.04;-0.12;0.00012;40.22;191.51;22.61
192.625;0.6875;-0.875;-0.01;0.04;-0.12;0.00013;40.28;191.91;23.22
192.9375;0.6875;-0.9375;-0.02;0.04;-0.12;0.00015;40.32;192.39;23.69
193.25;0.6875;-1.0625;-0.02;0.04;-0.14;0.00024;40.36;192.71;24.59
193.625;0.75;-1.125;-0.02;0.03;-0.13;0.00024;40.41;193.1;25.53
194;0.875;-1.1875;-0.03;0.01;-0.14;0.00029;40.46;193.48;26.58
194.375;0.9375;-1.25;-0.02;0;-0.14;0.0003;40.51;193.84;27.74
194.6875;0.9375;-1.25;-0.02;-0.02;-0.13;0.00029;40.56;194.21;28.84
195.0625;1;-1.25;-0.01;-0.03;-0.13;0.00031;40.61;194.56;30.06
195.4375;1;-1.125;0;-0.04;-0.13;0.00035;40.66;194.92;31.45
195.75;0.9375;-1.0625;0.01;-0.04;-0.13;0.00038;40.71;195.27;32.84
196.125;0.9375;-0.9375;0.02;-0.04;-0.13;0.0004;40.75;195.58;34.31
196.5;0.875;-0.8125;0.02;-0.04;-0.13;0.00039;40.8;195.88;35.8
196.8125;0.8125;-0.6875;0.02;-0.03;-0.12;0.0004;40.85;196.19;37.16
197.125;0.6875;-0.5625;0.02;-0.02;-0.13;0.00045;40.9;196.46;38.99
197.5;0.625;-0.5;0.02;-0.01;-0.12;0.00043;40.94;196.76;40.51
197.75;0.5625;-0.5;0.01;0.01;-0.13;0.00049;40.99;197.01;42.18
198.125;0.5;-0.5;0;0.02;-0.12;0.00049;41.03;197.25;43.99
198.4375;0.4375;-0.5;-0.01;0.03;-0.11;0.00045;41.08;197.49;45.72
198.6875;0.4375;-0.5625;-0.02;0.04;-0.1;0.00044;41.13;197.73;47.39
199;0.4375;-0.6875;-0.02;0.04;-0.09;0.00043;41.18;197.96;49.03
199.25;0.4375;-0.8125;-0.03;0.04;-0.09;0.00041;41.23;198.18;50.61
199.5;0.5;-0.875;-0.03;0.03;-0.08;0.00043;41.28;198.39;52.19
199.75;0.5625;-1;-0.03;0.02;-0.08;0.00043;41.32;198.58;53.81
199.9375;0.625;-1.0625;-0.02;0.01;-0.07;0.00042;41.37;198.76;55.45
200.125;0.6875;-1.0625;-0.01;-0.01;-0.07;0.00043;41.42;198.93;57.06
200.3125;0.6875;-1.0625;-0.01;-0.03;-0.06;0.00042;41.47;199.09;58.67
200.5;0.6875;-1.0625;0;-0.03;-0.05;0.00038;41.52;199.24;60.11
200.625;0.6875;-0.9375;0.01;-0.04;-0.04;0.00036;41.57;199.37;61.41
200.75;0.6875;-0.875;0.02;-0.05;-0.03;0.00034;41.61;199.49;62.7
200.875;0.625;-0.75;0.02;-0.04;-0.03;0.00036;41.66;199.59;64.11
200.9375;0.625;-0.625;0.02;-0.03;-0.03;0.00037;41.71;199.69;65.54
201;0.5625;-0.5625;0.02;-0.02;-0.02;0.00037;41.76;199.78;67.03
201.0625;0.5;-0.4375;0.02;0;-0.01;0.00036;41.81;199.85;68.39
201.125;0.4375;-0.4375;0.02;0.01;-0.01;0.00035;41.86;199.91;69.78
201.125;0.375;-0.4375;0.01;0.02;0;0.00033;41.91;199.95;71.02
201.125;0.375;-0.5;0;0.04;0.01;0.00033;41.96;199.98;72.27
201.125;0.375;-0.625;-0.01;0.04;0.01;0.00033;42.02;200;73.64
201.125;0.375;-0.6875;-0.02;0.05;0.01;0.00035;42.06;200;74.72
201.125;0.375;-0.8125;-0.02;0.04;0.02;0.00033;42.1;199.99;75.92
201.0625;0.4375;-0.9375;-0.03;0.03;0.02;0.00033;42.15;199.97;77.13
201.0625;0.5;-1.0625;-0.03;0.02;0.02;0.00034;42.19;199.94;78.39
201;0.5625;-1.125;-0.02;0.01;0.03;0.00031;42.24;199.9;79.51
200.875;0.625;-1.125;-0.02;-0.01;0.04;0.00028;42.29;199.84;80.56
200.8125;0.6875;-1.1875;-0.01;-0.02;0.05;0.00026;42.34;199.77;81.69
200.625;0.75;-1.125;-0.01;-0.03;0.05;0.00029;42.39;199.68;82.66
200.5;0.75;-1.0625;0;-0.04;0.05;0.0003;42.44;199.59;83.84
200.375;0.75;-1;0.01;-0.04;0.05;0.00031;42.49;199.48;85.04
200.25;0.75;-0.875;0.02;-0.04;0.06;0.00029;42.54;199.35;86.17
200.0625;0.6875;-0.75;0.02;-0.03;0.07;0.00028;42.58;199.22;87.23
199.875;0.625;-0.6875;0.03;-0.02;0.07;0.00026;42.63;199.07;88.23
199.6875;0.5625;-0.625;0.02;0;0.07;0.00028;42.68;198.91;89.26
199.5;0.5;-0.5625;0.02;0.01;0.07;0.00031;42.73;198.75;90.43
199.3125;0.4375;-0.625;0.02;0.03;0.07;0.00032;42.78;198.56;91.67
199.125;0.375;-0.6875;0.01;0.04;0.08;0.0003;42.83;198.36;92.99
198.875;0.375;-0.75;0;0.04;0.09;0.00027;42.87;198.12;93.82
198.625;0.375;-0.875;-0.01;0.05;0.09;0.00028;42.92;197.95;94.85
198.375;0.375;-1;-0.02;0.04;0.1;0.00025;42.97;197.72;95.85
198.1875;0.375;-1.125;-0.02;0.04;0.11;0.00024;43.02;197.47;96.77
197.875;0.4375;-1.1875;-0.02;0.02;0.11;0.00024;43.07;197.21;97.69
197.5625;0.5;-1.3125;-0.03;0.01;0.11;0.00024;43.12;196.94;98.63
197.25;0.5625;-1.3125;-0.03;0;0.11;0.00027;43.17;196.66;99.67
196.9375;0.625;-1.3125;-0.02;-0.02;0.11;0.00026;43.22;196.37;100.67
196.6875;0.625;-1.3125;-0.01;-0.03;0.12;0.00024;43.26;196.07;101.51
196.3125;0.6875;-1.25;-0.01;-0.04;0.13;0.00022;43.31;195.79;102.31
196.0625;0.6875;-1.1875;0;-0.04;0.13;0.0002;43.36;195.49;103.05
195.6875;0.6875;-1.0625;0.01;-0.04;0.14;0.00019;43.4;195.17;103.76
195.3125;0.625;-1;0.02;-0.03;0.14;0.00019;43.45;194.84;104.44
195;0.625;-0.9375;0.02;-0.02;0.14;0.00019;43.5;194.51;105.13
194.625;0.5625;-0.875;0.03;-0.01;0.14;0.00021;43.55;194.17;105.97
194.25;0.5;-0.8125;0.03;0.01;0.14;0.0002;43.59;193.8;106.71
193.9375;0.4375;-0.8125;0.03;0.02;0.15;0.00016;43.64;193.44;107.32
193.5;0.3125;-0.875;0.02;0.04;0.15;0.00017;43.69;193.05;108
193.125;0.25;-0.9375;0.01;0.04;0.15;0.00019;43.74;192.64;108.75
192.6875;0.1875;-1.0625;0;0.05;0.15;0.00017;43.8;192.23;109.52
192.25;0.1875;-1.1875;-0.01;0.05;0.16;0.00014;43.84;191.75;109.96
191.8125;0.1875;-1.3125;-0.01;0.04;0.16;0.00014;43.89;191.41;110.47
191.375;0.1875;-1.4375;-0.02;0.03;0.16;0.00015;43.94;191.01;111.03
190.9375;0.25;-1.5;-0.03;0.02;0.17;0.00012;43.98;190.58;111.49
190.5625;0.3125;-1.5625;-0.03;0;0.18;0.00009;44.03;190.14;111.83
190.0625;0.3125;-1.625;-0.03;-0.01;0.17;0.0001;44.08;189.7;112.21
189.5625;0.4375;-1.625;-0.03;-0.02;0.18;0.00007;44.13;189.26;112.46
189.0625;0.5;-1.5625;-0.01;-0.03;0.19;0.00004;44.18;188.82;112.61
188.5625;0.5;-1.5;-0.01;-0.04;0.19;0.00003;44.22;188.36;112.72
188.1875;0.5;-1.4375;-0.01;-0.03;0.19;0.00004;44.27;187.9;112.87
187.625;0.5;-1.375;0.01;-0.03;0.18;0.00005;44.32;187.42;113.06
187.125;0.5;-1.25;0.02;-0.02;0.19;0;44.37;186.94;113.07
186.625;0.4375;-1.1875;0.03;-0.02;0.19;0.00002;44.42;186.48;113.16
186.0625;0.375;-1.1875;0.03;0.01;0.19;0.00004;44.46;185.94;113.29
185.625;0.25;-1.125;0.04;0.02;0.19;0;44.51;185.55;113.28
185.125;0.1875;-1.1875;0.03;0.02;0.19;-0.00001;44.56;185.08;113.24
184.6875;0.0625;-1.1875;0.03;0.03;0.2;-0.00002;44.6;184.6;113.17
184.1875;0;-1.25;0.03;0.04;0.18;0.00004;44.65;184.12;113.31
183.625;-0.0625;-1.3125;0.02;0.03;0.18;0.00003;44.7;183.6;113.44
183.125;-0.1875;-1.4375;0;0.03;0.18;0.00006;44.75;183.11;113.67
182.75;-0.1875;-1.5;-0.01;0.03;0.17;0.00007;44.8;182.63;113.95
182.25;-0.25;-1.5;-0.01;0.01;0.18;0.00005;44.85;182.11;114.15
181.75;-0.25;-1.5625;-0.03;0.01;0.17;0.00006;44.9;181.59;114.39
181.25;-0.1875;-1.5625;-0.03;0.01;0.16;0.00011;44.95;181.07;114.83
180.8125;-0.1875;-1.5625;-0.03;0;0.17;0.00008;45;180.55;115.17
180.375;-0.0625;-1.5625;-0.03;-0.02;0.16;0.0001;45.05;180;115.55
179.875;0;-1.5;-0.03;0;0.14;0.0002;45.1;179.49;116.32
179.5;0;-1.5;-0.02;-0.01;0.15;0.00017;45.15;178.98;117
179.0625;0;-1.4375;-0.01;-0.01;0.15;0.00015;45.19;178.44;117.52
178.6875;0.0625;-1.4375;0;0;0.13;0.00024;45.24;177.96;118.42
178.25;0.0625;-1.375;0.02;0;0.14;0.0002;45.29;177.45;119.16
177.9375;0;-1.375;0.02;0;0.14;0.0002;45.34;176.98;119.92
177.625;0;-1.375;0.03;0;0.14;0.00017;45.39;176.47;120.63
177.25;-0.0625;-1.375;0.03;0.02;0.14;0.00018;45.43;175.91;121.2
176.875;-0.1875;-1.375;0.03;0.01;0.14;0.00016;45.48;175.5;121.79
176.5;-0.25;-1.375;0.03;0.01;0.13;0.00018;45.53;175.01;122.49
176.1875;-0.375;-1.375;0.03;0.02;0.12;0.00025;45.58;174.51;123.44
175.8125;-0.4375;-1.375;0.01;0.01;0.12;0.0002;45.63;174.02;124.2
175.5;-0.5;-1.375;0;0;0.12;0.00019;45.67;173.54;124.88
175.125;-0.5;-1.375;-0.01;0.01;0.11;0.00023;45.72;173.08;125.75
174.8125;-0.5;-1.3125;-0.02;0.01;0.12;0.00019;45.77;172.61;126.46
174.5625;-0.5;-1.3125;-0.03;0;0.12;0.00016;45.82;172.15;127.04
174.1875;-0.4375;-1.3125;-0.03;0;0.12;0.00015;45.86;171.7;127.59
173.875;-0.3125;-1.3125;-0.03;0;0.12;0.00013;45.91;171.25;128.06
173.5625;-0.25;-1.3125;-0.03;0;0.13;0.00011;45.96;170.83;128.45
173.25;-0.1875;-1.25;-0.03;0;0.13;0.00009;46.01;170.4;128.83
172.875;-0.125;-1.25;-0.01;0.01;0.12;0.00011;46.06;169.94;129.23
172.625;-0.0625;-1.25;0;0;0.13;0.00006;46.1;169.5;129.44
172.25;-0.0625;-1.25;0;0;0.13;0.00003;46.15;169.08;129.57
171.875;-0.125;-1.25;0.02;0;0.12;0.00006;46.2;168.66;129.82
171.5625;-0.125;-1.25;0.03;0;0.13;0.00001;46.25;168.24;129.85
171.1875;-0.25;-1.25;0.03;-0.01;0.12;0;46.29;167.85;129.86
170.875;-0.3125;-1.25;0.04;0;0.12;-0.00002;46.34;167.45;129.8
170.5625;-0.375;-1.25;0.03;-0.01;0.13;-0.00006;46.4;167.06;129.56
170.25;-0.5;-1.25;0.02;0;0.12;-0.00005;46.44;166.65;129.37
169.875;-0.5625;-1.25;0.02;0;0.11;-0.00002;46.49;166.3;129.31
169.5625;-0.625;-1.25;0.01;0.01;0.11;-0.00004;46.54;165.95;129.17
169.25;-0.6875;-1.1875;-0.01;0;0.11;-0.00004;46.59;165.59;129.03
168.9375;-0.6875;-1.1875;-0.01;0.01;0.1;-0.00004;46.63;165.24;128.88
168.6875;-0.625;-1.1875;-0.02;0.01;0.1;-0.00007;46.68;164.89;128.62
168.4375;-0.625;-1.25;-0.03;0.02;0.1;-0.00007;46.73;164.57;128.37
168.125;-0.5;-1.25;-0.03;0.01;0.1;-0.00007;46.78;164.26;128.11
167.9375;-0.4375;-1.25;-0.03;0.02;0.1;-0.00009;46.83;163.95;127.79
167.625;-0.375;-1.3125;-0.03;0.01;0.09;-0.0001;46.87;163.66;127.43
167.375;-0.25;-1.3125;-0.01;0.01;0.09;-0.0001;46.92;163.39;127.05
167.1875;-0.25;-1.3125;-0.01;0;0.09;-0.00012;46.97;163.12;126.58
166.9375;-0.1875;-1.3125;0;0;0.09;-0.00013;47.01;162.86;126.13
166.6875;-0.1875;-1.3125;0.02;0;0.08;-0.00013;47.06;162.62;125.65
166.4375;-0.25;-1.3125;0.03;-0.01;0.08;-0.00012;47.11;162.38;125.17
166.25;-0.25;-1.3125;0.03;-0.02;0.07;-0.00013;47.16;162.13;124.66
166.0625;-0.375;-1.3125;0.03;-0.01;0.07;-0.00016;47.21;161.91;124.03
165.875;-0.4375;-1.25;0.02;-0.01;0.08;-0.0002;47.26;161.7;123.27
165.625;-0.5;-1.1875;0.02;-0.01;0.07;-0.0002;47.31;161.49;122.52
165.4375;-0.5625;-1.1875;0.01;-0.01;0.07;-0.00022;47.35;161.31;121.67
165.25;-0.5625;-1.1875;0;0;0.07;-0.00022;47.4;161.13;120.86
165.0625;-0.5625;-1.1875;-0.01;0;0.06;-0.00023;47.45;160.98;119.96
164.875;-0.5625;-1.125;-0.02;0.01;0.07;-0.00027;47.5;160.82;118.9
164.75;-0.5625;-1.125;-0.02;0.02;0.06;-0.00027;47.55;160.68;117.86
164.5625;-0.5;-1.1875;-0.03;0.02;0.05;-0.00027;47.6;160.55;116.78
164.375;-0.4375;-1.25;-0.03;0.02;0.06;-0.00033;47.65;160.44;115.56
164.25;-0.375;-1.3125;-0.02;0.02;0.06;-0.00035;47.7;160.34;114.22
164.0625;-0.3125;-1.3125;-0.02;0.02;0.05;-0.00035;47.75;160.25;112.74
163.875;-0.25;-1.375;-0.01;0.02;0.05;-0.00036;47.79;160.17;111.58
163.75;-0.25;-1.4375;0;0;0.04;-0.00034;47.85;160.12;110.07
163.625;-0.25;-1.4375;0.01;0;0.04;-0.00035;47.89;160.06;108.96
163.5625;-0.25;-1.4375;0.02;0;0.03;-0.00034;47.94;160.03;107.69
163.4375;-0.25;-1.4375;0.03;-0.01;0.03;-0.00035;47.98;160.01;106.4
163.375;-0.3125;-1.4375;0.03;-0.02;0.02;-0.00034;48.03;160;105.1
163.3125;-0.375;-1.375;0.02;0;0.03;-0.00039;48.08;160;103.72
163.25;-0.4375;-1.375;0.02;-0.01;0.03;-0.00041;48.12;160.02;102.23
163.1875;-0.5;-1.375;0.01;-0.01;0.02;-0.00039;48.17;160.04;100.75
163.125;-0.5625;-1.375;0.01;0.01;0.01;-0.00039;48.22;160.08;99.35
163.125;-0.5625;-1.3125;0;0;0.01;-0.00039;48.27;160.13;97.92
163.0625;-0.5625;-1.3125;-0.01;0;0;-0.00039;48.32;160.19;96.42
163.0625;-0.5625;-1.3125;-0.01;0.01;-0.01;-0.00033;48.36;160.27;95.16
163.125;-0.5625;-1.3125;-0.02;0;-0.01;-0.00035;48.42;160.36;93.72
163.125;-0.5;-1.3125;-0.02;0;-0.03;-0.00032;48.46;160.47;92.52
163.1875;-0.5;-1.3125;-0.02;0.01;-0.03;-0.00031;48.51;160.59;91.31
163.25;-0.4375;-1.25;-0.02;0.01;-0.03;-0.00032;48.56;160.72;90.06
163.375;-0.375;-1.25;-0.02;0.01;-0.03;-0.00036;48.61;160.87;88.65
163.4375;-0.3125;-1.25;-0.01;0;-0.04;-0.00032;48.66;161.03;87.42
163.5625;-0.25;-1.25;-0.01;0;-0.05;-0.0003;48.71;161.19;86.3
163.6875;-0.1875;-1.25;0;0;-0.06;-0.0003;48.76;161.37;85.21
163.8125;-0.1875;-1.25;0.01;-0.01;-0.06;-0.0003;48.81;161.55;84.05
164;-0.1875;-1.25;0.01;-0.01;-0.06;-0.0003;48.85;161.75;82.91
164.125;-0.1875;-1.25;0.01;-0.01;-0.08;-0.00025;48.9;161.97;81.92
164.3125;-0.1875;-1.25;0.02;0;-0.08;-0.00024;48.95;162.2;81.01
164.5625;-0.1875;-1.1875;0.02;-0.01;-0.08;-0.00027;49;162.43;79.95
164.75;-0.25;-1.1875;0.02;0;-0.09;-0.00023;49.05;162.69;79.17
165;-0.3125;-1.1875;0.01;0;-0.1;-0.0002;49.09;162.92;78.4
165.25;-0.3125;-1.1875;0.01;0;-0.1;-0.00021;49.14;163.2;77.59
165.5;-0.3125;-1.1875;0;0.01;-0.1;-0.00023;49.19;163.48;76.75
165.8125;-0.3125;-1.1875;0;0;-0.1;-0.00025;49.24;163.76;75.83
166.0625;-0.3125;-1.1875;-0.01;0.01;-0.11;-0.00023;49.28;164.06;75
166.3125;-0.25;-1.1875;-0.01;0.01;-0.11;-0.00019;49.33;164.36;74.28
166.625;-0.25;-1.25;-0.02;0.01;-0.12;-0.00019;49.38;164.67;73.58
166.9375;-0.1875;-1.25;-0.02;0.01;-0.12;-0.0002;49.43;164.99;72.86
167.1875;-0.125;-1.25;-0.02;0;-0.12;-0.00019;49.47;165.32;72.15
167.5625;-0.0625;-1.25;-0.02;0;-0.13;-0.00016;49.52;165.66;71.51
167.875;0;-1.25;-0.01;0;-0.13;-0.00017;49.57;166.04;70.93
168.1875;0;-1.25;-0.01;0;-0.14;-0.00015;49.62;166.38;70.34
